State,Indicator No.,Indicator,Unit,NFHS 6,NFHS 6 Small Sample,NFHS 5,NFHS 5 Small Sample,Delta (6-5)
Dadra & Nagar Haveli and Daman & Diu,6,Households using iodized salt (%),%,97.0,,89.1,,7.9
Dadra & Nagar Haveli and Daman & Diu,7,Households with any usual member covered under a health insurance/financing scheme (%),%,55.3,,56.6,,-1.3
Dadra & Nagar Haveli and Daman & Diu,8,Households with any usual member having a bank account/post office account (%),%,98.0,,92.9,,5.1
Dadra & Nagar Haveli and Daman & Diu,9,Female population age 6 years and above who ever attended school (%),%,78.5,,74.4,,4.1
Dadra & Nagar Haveli and Daman & Diu,10,Households with any usual female members owning a house and/or land (alone or jointly,,12.1,,13.9,,-1.8
Dadra & Nagar Haveli and Daman & Diu,11,Children age 2-4 years who attended pre-school (%),%,51.1,,44.7,,6.4
Dadra & Nagar Haveli and Daman & Diu,12,Women with 10 or more years of schooling (%),%,44.8,,35.8,,9.0
Dadra & Nagar Haveli and Daman & Diu,13,Men with 10 or more years of schooling (%),%,56.6,,49.4,,7.2
Dadra & Nagar Haveli and Daman & Diu,14,Women who have ever used the internet (%),%,78.4,,36.7,,41.7
Dadra & Nagar Haveli and Daman & Diu,15,Men who have ever used the internet (%),%,91.7,,61.3,,30.4
Dadra & Nagar Haveli and Daman & Diu,16,Women age 20-24 years married before age 18 years (%),%,16.3,,26.4,,-10.1
Dadra & Nagar Haveli and Daman & Diu,17,Men age 25-29 years married before age 21 years (%),%,18.8,,12.6,,6.2
Dadra & Nagar Haveli and Daman & Diu,18,Total fertility rate (children per woman),children per woman,1.7,,1.8,,-0.1
Dadra & Nagar Haveli and Daman & Diu,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),%,5.0,,4.3,,0.7
Dadra & Nagar Haveli and Daman & Diu,20,Any method2 (%),%,67.2,,68.0,,-0.8
Dadra & Nagar Haveli and Daman & Diu,21,Any modern method2 (%),%,50.1,,59.8,,-9.7
Dadra & Nagar Haveli and Daman & Diu,22,Any traditional method (%),%,17.1,,8.2,,8.9
Dadra & Nagar Haveli and Daman & Diu,23,Female sterilization (%),%,36.2,,41.6,,-5.4
Dadra & Nagar Haveli and Daman & Diu,24,Male sterilization (%),%,0.2,,0.2,,0.0
Dadra & Nagar Haveli and Daman & Diu,25,Total unmet need3 (%),%,8.6,,11.9,,-3.3
Dadra & Nagar Haveli and Daman & Diu,26,Unmet need for spacing3 (%),%,4.2,,5.2,,-1.0
Dadra & Nagar Haveli and Daman & Diu,27,Unmet need for limiting3 (%),%,4.4,,6.7,,-2.3
Dadra & Nagar Haveli and Daman & Diu,28,Mothers who had an antenatal check-up in the first trimester (%),%,89.4,,77.7,,11.7
Dadra & Nagar Haveli and Daman & Diu,29,Mothers who had any antenatal care visits (%),%,98.5,,97.6,,0.9
Dadra & Nagar Haveli and Daman & Diu,30,Mothers who had at least 4 antenatal care visits (%),%,83.2,,86.2,,-3.0
Dadra & Nagar Haveli and Daman & Diu,31,Mothers whose last birth was protected against neonatal tetanus4 (%),%,96.8,,84.6,,12.2
Dadra & Nagar Haveli and Daman & Diu,32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),%,77.4,,59.8,,17.6
Dadra & Nagar Haveli and Daman & Diu,33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),%,49.8,,36.2,,13.6
Dadra & Nagar Haveli and Daman & Diu,34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP),MCP,99.2,,98.8,,0.4
Dadra & Nagar Haveli and Daman & Diu,35,Institutional births (%),%,96.3,,96.5,,-0.2
Dadra & Nagar Haveli and Daman & Diu,36,Institutional births in public facility (%),%,71.9,,71.9,,0.0
Dadra & Nagar Haveli and Daman & Diu,37,Births attended by skilled health personnel5 (%),%,94.4,,97.8,,-3.4
Dadra & Nagar Haveli and Daman & Diu,38,Births delivered by caesarean section (%),%,28.6,,22.9,,5.7
Dadra & Nagar Haveli and Daman & Diu,39,Births in a private health facility that were delivered by caesarean section (%),%,43.6,,42.5,,1.1
Dadra & Nagar Haveli and Daman & Diu,40,Births in a public health facility that were delivered by caesarean section (%),%,24.9,,17.3,,7.6
Dadra & Nagar Haveli and Daman & Diu,41,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health,,94.0,,91.6,,2.4
Dadra & Nagar Haveli and Daman & Diu,42,Children born at home who were taken to a health facility for a check-up within 24 hours of,,,Y,,Y,
Dadra & Nagar Haveli and Daman & Diu,43,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/ other health,,92.2,,91.0,,1.2
Dadra & Nagar Haveli and Daman & Diu,44,Children age 12-23 months fully vaccinated based on information from either vaccination card,,89.0,,94.9,,-5.9
Dadra & Nagar Haveli and Daman & Diu,45,Children age 12-23 months fully vaccinated based on information from vaccination card,,90.5,,93.4,,-2.9
Dadra & Nagar Haveli and Daman & Diu,46,Children age 12-23 months who have received any vaccine (%),%,100.0,,99.4,,0.6
Dadra & Nagar Haveli and Daman & Diu,47,Children age 12-23 months who have received BCG (%),%,100.0,,98.1,,1.9
Dadra & Nagar Haveli and Daman & Diu,48,Children age 12-23 months who have received 3 doses of polio vaccine8 (%),%,91.6,,96.1,,-4.5
Dadra & Nagar Haveli and Daman & Diu,49,Children age 12-23 months who have received 3 doses of pentavalent vaccine (%),%,95.1,,97.2,,-2.1
Dadra & Nagar Haveli and Daman & Diu,50,Children age 12-23 months who have received the first dose of measles-containing,,98.9,,96.2,,2.7
Dadra & Nagar Haveli and Daman & Diu,51,Children age 24-35 months who have received a second dose of measles-containing,,80.8,,84.2,,-3.4
Dadra & Nagar Haveli and Daman & Diu,52,Children age 12-23 months who have received birth dose of hepatitis B vaccine (%),%,95.3,,69.9,,25.4
Dadra & Nagar Haveli and Daman & Diu,53,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),%,93.8,,3.7,,90.1
Dadra & Nagar Haveli and Daman & Diu,54,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),%,92.3,,86.2,,6.1
Dadra & Nagar Haveli and Daman & Diu,55,Children age 12-23 months who received most of their vaccinations in a public health,,100.0,,97.3,,2.7
Dadra & Nagar Haveli and Daman & Diu,56,Children age 12-23 months who received most of their vaccinations in a private health,,0.0,,2.7,,-2.7
Dadra & Nagar Haveli and Daman & Diu,57,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),%,3.0,,2.6,,0.4
Dadra & Nagar Haveli and Daman & Diu,58,Prevalence of severe diarrhoea in the 2 weeks preceding the survey (%),%,0.3,,0.3,,0.0
Dadra & Nagar Haveli and Daman & Diu,59,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the,,0.4,,0.3,,0.1
Dadra & Nagar Haveli and Daman & Diu,60,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health,,76.2,,90.7,,-14.5
Dadra & Nagar Haveli and Daman & Diu,61,Children under age 3 years breastfed within one hour of birth9 (%),%,42.9,,25.9,,17.0
Dadra & Nagar Haveli and Daman & Diu,62,Children under age 6 months exclusively breastfed10 (%),%,64.1,,79.4,,-15.3
Dadra & Nagar Haveli and Daman & Diu,63,Children under age 6 months currently breastfeeding10 (%),%,93.3,,98.3,,-5.0
Dadra & Nagar Haveli and Daman & Diu,64,Children under age 6 months exclusively breastfed or breastfeeding and consuming plain,,87.6,,87.9,,-0.3
Dadra & Nagar Haveli and Daman & Diu,65,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),%,72.0,Y,43.3,Y,28.7
Dadra & Nagar Haveli and Daman & Diu,66,"Breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",%,8.5,,10.7,,-2.2
Dadra & Nagar Haveli and Daman & Diu,67,"Non-breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",%,,Y,4.0,Y,
Dadra & Nagar Haveli and Daman & Diu,68,"Total children age 6-23 months receiving an adequate diet10, 11 (%)",%,9.2,,10.2,,-1.0
Dadra & Nagar Haveli and Daman & Diu,69,Children under 5 years who are stunted (height-for-age)12 (%),%,37.1,,39.4,,-2.3
Dadra & Nagar Haveli and Daman & Diu,70,Children under 5 years who are wasted (weight-for-height)12 (%),%,24.2,,21.6,,2.6
Dadra & Nagar Haveli and Daman & Diu,71,Children under 5 years who are severely wasted (weight-for-height)13 (%),%,4.2,,4.3,,-0.1
Dadra & Nagar Haveli and Daman & Diu,72,Children under 5 years who are underweight (weight-for-age)12 (%),%,41.3,,38.7,,2.6
Dadra & Nagar Haveli and Daman & Diu,73,Children under 5 years who are overweight (weight-for-height)14 (%),%,0.5,,1.9,,-1.4
Dadra & Nagar Haveli and Daman & Diu,74,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)15 (%),%,21.3,,25.1,,-3.8
Dadra & Nagar Haveli and Daman & Diu,75,Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),%,22.7,,18.2,,4.5
Dadra & Nagar Haveli and Daman & Diu,76,Women who are overweight or obese (BMI ≥25.0 kg/m2)15 (%),%,29.0,,26.9,,2.1
Dadra & Nagar Haveli and Daman & Diu,77,Men who are overweight or obese (BMI ≥25.0 kg/m2) (%),%,25.7,,21.4,,4.3
Dadra & Nagar Haveli and Daman & Diu,78,Blood sugar level - high (141-160 mg/dl)16 (%),%,5.9,,6.6,,-0.7
Dadra & Nagar Haveli and Daman & Diu,79,Blood sugar level - very high (>160 mg/dl)16 (%),%,6.3,,5.9,,0.4
Dadra & Nagar Haveli and Daman & Diu,80,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level16 (%),%,12.9,,13.6,,-0.7
Dadra & Nagar Haveli and Daman & Diu,81,Blood sugar level - high (141-160 mg/dl)16 (%),%,6.4,,8.0,,-1.6
Dadra & Nagar Haveli and Daman & Diu,82,Blood sugar level - very high (>160 mg/dl)16 (%),%,7.6,,7.7,,-0.1
Dadra & Nagar Haveli and Daman & Diu,83,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level16 (%),%,15.1,,16.4,,-1.3
Dadra & Nagar Haveli and Daman & Diu,84,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),%,6.8,,7.7,,-0.9
Dadra & Nagar Haveli and Daman & Diu,85,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),%,3.3,,4.0,,-0.7
Dadra & Nagar Haveli and Daman & Diu,86,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),%,14.3,,14.9,,-0.6
Dadra & Nagar Haveli and Daman & Diu,87,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),%,11.6,,9.8,,1.8
Dadra & Nagar Haveli and Daman & Diu,88,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),%,1.9,,3.7,,-1.8
Dadra & Nagar Haveli and Daman & Diu,89,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),%,18.4,,15.4,,3.0
Dadra & Nagar Haveli and Daman & Diu,90,Currently married women who usually participate in three household decisions17 (%),%,98.4,,91.9,,6.5
Dadra & Nagar Haveli and Daman & Diu,91,Women who worked in the last 12 months and were paid in cash (%),%,34.7,,31.5,,3.2
Dadra & Nagar Haveli and Daman & Diu,92,Women having a bank or savings account that they themselves use (%),%,90.7,,83.6,,7.1
Dadra & Nagar Haveli and Daman & Diu,93,Women having a mobile phone that they themselves use (%),%,68.3,,60.5,,7.8
Dadra & Nagar Haveli and Daman & Diu,94,Women age 15-24 years who use hygienic methods of protection during their menstrual,,89.3,,94.3,,-5.0
Dadra & Nagar Haveli and Daman & Diu,95,Ever-married women age 18-49 years who have ever experienced spousal violence19 (%),%,19.9,,16.8,,3.1
Dadra & Nagar Haveli and Daman & Diu,96,Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),%,1.6,,4.3,,-2.7
Dadra & Nagar Haveli and Daman & Diu,97,Young women age 18-29 years who experienced sexual violence by age 18 (%),%,0.0,,0.0,,0.0
Dadra & Nagar Haveli and Daman & Diu,98,Women age 15 years and above who use any kind of tobacco (%),%,1.9,,2.9,,-1.0
Dadra & Nagar Haveli and Daman & Diu,99,Men age 15 years and above who use any kind of tobacco (%),%,31.1,,38.5,,-7.4
Dadra & Nagar Haveli and Daman & Diu,100,Women age 15 years and above who consume alcohol (%),%,1.1,,1.1,,0.0
Dadra & Nagar Haveli and Daman & Diu,101,Men age 15 years and above who consume alcohol (%),%,21.6,,27.7,,-6.1
Goa,1,Population below age 5 years (%),%,5.5,,5.3,,0.2
Goa,2,Population below age 15 years (%),%,18.1,,19.1,,-1.0
Goa,3,Population age 60 years and above (%),%,17.2,,14.2,,3.0
Goa,4,Population living in households with electricity (%),%,99.6,,100.0,,-0.4
Goa,5,Population living in households with an improved drinking-water source1 (%),%,95.5,,98.5,,-3.0
Goa,6,Households using iodized salt (%),%,96.9,,97.6,,-0.7
Goa,7,Households with any usual member covered under a health insurance/financing scheme (%),%,71.7,,73.1,,-1.4
Goa,8,Households with any usual member having a bank account/post office account (%),%,99.1,,97.2,,1.9
Goa,9,Female population age 6 years and above who ever attended school (%),%,87.2,,89.0,,-1.8
Goa,10,Households with any usual female members owning a house and/or land (alone or jointly with,,21.4,,16.0,,5.4
Goa,11,Children age 2-4 years who attended pre-school (%),%,57.2,,58.1,,-0.9
Goa,12,Women with 10 or more years of schooling (%),%,66.5,,71.5,,-5.0
Goa,13,Men with 10 or more years of schooling (%),%,69.9,,76.6,,-6.7
Goa,14,Women who have ever used the internet (%),%,94.0,,73.7,,20.3
Goa,15,Men who have ever used the internet (%),%,90.9,,69.7,,21.2
Goa,16,Women age 20-24 years married before age 18 years (%),%,6.8,,5.8,,1.0
Goa,17,Men age 25-29 years married before age 21 years (%),%,,Y,8.9,Y,
Goa,18,Total fertility rate (children per woman),children per woman,1.6,,1.3,,0.3
Goa,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),%,1.1,,2.7,,-1.6
Goa,20,Any method2 (%),%,72.8,,67.9,,4.9
Goa,21,Any modern method2 (%),%,39.0,,60.1,,-21.1
Goa,22,Any traditional method (%),%,33.8,,7.8,,26.0
Goa,23,Female sterilization (%),%,23.4,,29.9,,-6.5
Goa,24,Male sterilization (%),%,0.1,,0.0,,0.1
Goa,25,Total unmet need3 (%),%,5.1,,8.4,,-3.3
Goa,26,Unmet need for spacing3 (%),%,3.4,,4.0,,-0.6
Goa,27,Unmet need for limiting3 (%),%,1.7,,4.4,,-2.7
Goa,28,Mothers who had an antenatal check-up in the first trimester (%),%,92.1,,70.3,,21.8
Goa,29,Mothers who had any antenatal care visits (%),%,99.2,,98.8,,0.4
Goa,30,Mothers who had at least 4 antenatal care visits (%),%,88.0,,93.0,,-5.0
Goa,31,Mothers whose last birth was protected against neonatal tetanus4 (%),%,96.2,,96.5,,-0.3
Goa,32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),%,80.1,,87.5,,-7.4
Goa,33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),%,63.9,,65.0,,-1.1
Goa,34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP),MCP,93.4,,99.8,,-6.4
Goa,35,Institutional births (%),%,99.6,,99.7,,-0.1
Goa,36,Institutional births in public facility (%),%,60.7,,56.2,,4.5
Goa,37,Births attended by skilled health personnel5 (%),%,99.6,,99.1,,0.5
Goa,38,Births delivered by caesarean section (%),%,46.2,,39.5,,6.7
Goa,39,Births in a private health facility that were delivered by caesarean section (%),%,69.7,,50.0,,19.7
Goa,40,Births in a public health facility that were delivered by caesarean section (%),%,31.4,,31.5,,-0.1
Goa,41,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health,,96.9,,95.4,,1.5
Goa,42,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),%,,Y,,Y,
Goa,43,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/ other health,,97.3,,96.7,,0.6
Goa,44,Children age 12-23 months fully vaccinated based on information from either vaccination card,,93.8,,81.9,,11.9
Goa,45,Children age 12-23 months fully vaccinated based on information from vaccination card,,94.4,,91.0,,3.4
Goa,46,Children age 12-23 months who have received any vaccine (%),%,98.6,,97.9,,0.7
Goa,47,Children age 12-23 months who have received BCG (%),%,98.6,,97.9,,0.7
Goa,48,Children age 12-23 months who have received 3 doses of polio vaccine 8 (%),%,93.8,,88.3,,5.5
Goa,49,Children age 12-23 months who have received 3 doses of pentavalent vaccine (%),%,98.6,,90.8,,7.8
Goa,50,Children age 12-23 months who have received the first dose of measles-containing,,98.6,,92.9,,5.7
Goa,51,Children age 24-35 months who have received a second dose of measles-containing,,88.3,,33.0,,55.3
Goa,52,Children age 12-23 months who have received birth dose of hepatitis B vaccine (%),%,91.9,,80.2,,11.7
Goa,53,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),%,97.1,,6.3,,90.8
Goa,54,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),%,91.2,,91.9,,-0.7
Goa,55,Children age 12-23 months who received most of their vaccinations in a public health,,94.3,,92.7,,1.6
Goa,56,Children age 12-23 months who received most of their vaccinations in a private health,,3.9,,7.3,,-3.4
Goa,57,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),%,0.7,,3.2,,-2.5
Goa,58,Prevalence of severe diarrhoea in the 2 weeks preceding the survey (%),%,0.0,,0.0,,0.0
Goa,59,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the,,0.6,,0.9,,-0.3
Goa,60,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health,,,Y,86.6,,
Goa,61,Children under age 3 years breastfed within one hour of birth 9 (%),%,47.9,,61.6,,-13.7
Goa,62,Children under age 6 months exclusively breastfed10 (%),%,,Y,61.4,Y,
Goa,63,Children under age 6 months currently breastfeeding 10 (%),%,100.0,,100.0,Y,0.0
Goa,64,Children under age 6 months exclusively breastfed or breastfeeding and consuming plain,,95.7,,83.0,Y,12.7
Goa,65,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),%,,Y,,Y,
Goa,66,"Breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",%,34.6,,20.2,,14.4
Goa,67,"Non-breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",%,,Y,,Y,
Goa,68,"Total children age 6-23 months receiving an adequate diet10, 11 (%)",%,33.0,,21.5,,11.5
Goa,69,Children under 5 years who are stunted (height-for-age)12 (%),%,19.4,,25.8,,-6.4
Goa,70,Children under 5 years who are wasted (weight-for-height)12 (%),%,16.3,,19.1,,-2.8
Goa,71,Children under 5 years who are severely wasted (weight-for-height)13 (%),%,2.4,,7.5,,-5.1
Goa,72,Children under 5 years who are underweight (weight-for-age)12 (%),%,19.9,,24.0,,-4.1
Goa,73,Children under 5 years who are overweight (weight-for-height)14 (%),%,0.9,,2.8,,-1.9
Goa,74,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m 2)15 (%),%,15.0,,13.8,,1.2
Goa,75,Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),%,6.9,,12.5,,-5.6
Goa,76,Women who are overweight or obese (BMI ≥25.0 kg/m 2)15 (%),%,45.1,,36.1,,9.0
Goa,77,Men who are overweight or obese (BMI ≥25.0 kg/m2) (%),%,43.6,,32.6,,11.0
Goa,78,Blood sugar level - high (141-160 mg/dl)16 (%),%,8.8,,8.6,,0.2
Goa,79,Blood sugar level - very high (>160 mg/dl)16 (%),%,15.0,,9.6,,5.4
Goa,80,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood,,27.5,,20.8,,6.7
Goa,81,Blood sugar level - high (141-160 mg/dl)16 (%),%,10.1,,10.3,,-0.2
Goa,82,Blood sugar level - very high (>160 mg/dl)16 (%),%,17.3,,11.6,,5.7
Goa,83,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood,,32.1,,24.1,,8.0
Goa,84,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or,,8.3,,12.1,,-3.8
Goa,85,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or,,5.1,,3.6,,1.5
Goa,86,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm,,26.2,,27.5,,-1.3
Goa,87,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or,,9.7,,14.8,,-5.1
Goa,88,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or,,4.4,,4.7,,-0.3
Goa,89,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking,,27.5,,26.8,,0.7
Goa,90,Currently married women who usually participate in three household decisions 17 (%),%,92.5,,93.1,,-0.6
Goa,91,Women who worked in the last 12 months and were paid in cash (%),%,34.1,,31.9,,2.2
Goa,92,Women having a bank or savings account that they themselves use (%),%,91.1,,88.3,,2.8
Goa,93,Women having a mobile phone that they themselves use (%),%,89.9,,91.2,,-1.3
Goa,94,Women age 15-24 years who use hygienic methods of protection during their menstrual,,97.5,,96.8,,0.7
Goa,95,Ever-married women age 18-49 years who have ever experienced spousal violence 19 (%),%,11.3,,8.3,,3.0
Goa,96,Ever-married women age 18-49 years who have experienced physical violence during any,,1.9,,1.6,,0.3
Goa,97,Young women age 18-29 years who experienced sexual violence by age 18 (%),%,0.0,Y,0.0,,0.0
Goa,98,Women age 15 years and above who use any kind of tobacco (%),%,3.1,,2.6,,0.5
Goa,99,Men age 15 years and above who use any kind of tobacco (%),%,17.1,,18.1,,-1.0
Goa,100,Women age 15 years and above who consume alcohol (%),%,2.1,,5.5,,-3.4
Goa,101,Men age 15 years and above who consume alcohol (%),%,22.4,,36.8,,-14.4
Gujarat,1,Population below age 5 years (%),%,7.3,,7.3,,0.0
Gujarat,2,Population below age 15 years (%),%,23.0,,24.0,,-1.0
Gujarat,3,Population age 60 years and above (%),%,13.1,,12.0,,1.1
Gujarat,4,Population living in households with electricity (%),%,98.2,,97.6,,0.6
Gujarat,5,Population living in households with an improved drinking-water source1 (%),%,97.2,,97.2,,0.0
Gujarat,6,Households using iodized salt (%),%,96.4,,95.6,,0.8
Gujarat,7,Households with any usual member covered under a health insurance/financing scheme (%),%,57.9,,44.4,,13.5
Gujarat,8,Households with any usual member having a bank account/post office account (%),%,97.6,,94.6,,3.0
Gujarat,9,Female population age 6 years and above who ever attended school (%),%,76.3,,72.9,,3.4
Gujarat,10,Households with any usual female members owning a house and/or land (alone or jointly with,,16.0,,11.8,,4.2
Gujarat,11,Children age 2-4 years who attended pre-school (%),%,49.1,,55.1,,-6.0
Gujarat,12,Women with 10 or more years of schooling (%),%,38.6,,33.8,,4.8
Gujarat,13,Men with 10 or more years of schooling (%),%,47.0,,45.6,,1.4
Gujarat,14,Women who have ever used the internet (%),%,65.7,,30.8,,34.9
Gujarat,15,Men who have ever used the internet (%),%,83.9,,52.6,,31.3
Gujarat,16,Women age 20-24 years married before age 18 years (%),%,18.0,,21.8,,-3.8
Gujarat,17,Men age 25-29 years married before age 21 years (%),%,24.3,,27.7,,-3.4
Gujarat,18,Total fertility rate (children per woman),children per woman,1.9,,1.9,,0.0
Gujarat,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),%,5.6,,5.2,,0.4
Gujarat,20,Any method2 (%),%,74.0,,65.3,,8.7
Gujarat,21,Any modern method2 (%),%,51.6,,53.6,,-2.0
Gujarat,22,Any traditional method (%),%,22.4,,11.7,,10.7
Gujarat,23,Female sterilization (%),%,33.9,,35.9,,-2.0
Gujarat,24,Male sterilization (%),%,0.2,,0.2,,0.0
Gujarat,25,Total unmet need3 (%),%,6.0,,10.3,,-4.3
Gujarat,26,Unmet need for spacing3 (%),%,3.2,,4.4,,-1.2
Gujarat,27,Unmet need for limiting3 (%),%,2.8,,5.9,,-3.1
Gujarat,28,Mothers who had an antenatal check-up in the first trimester (%),%,87.0,,79.3,,7.7
Gujarat,29,Mothers who had any antenatal care visits (%),%,97.6,,94.1,,3.5
Gujarat,30,Mothers who had at least 4 antenatal care visits (%),%,82.3,,77.2,,5.1
Gujarat,31,Mothers whose last birth was protected against neonatal tetanus 4 (%),%,94.9,,89.1,,5.8
Gujarat,32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),%,71.0,,60.0,,11.0
Gujarat,33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),%,53.9,,43.2,,10.7
Gujarat,34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP),MCP,97.2,,97.7,,-0.5
Gujarat,35,Institutional births (%),%,97.1,,94.3,,2.8
Gujarat,36,Institutional births in public facility (%),%,39.7,,43.3,,-3.6
Gujarat,37,Births attended by skilled health personnel5 (%),%,93.2,,93.2,,0.0
Gujarat,38,Births delivered by caesarean section (%),%,29.0,,21.0,,8.0
Gujarat,39,Births in a private health facility that were delivered by caesarean section (%),%,39.8,,30.8,,9.0
Gujarat,40,Births in a public health facility that were delivered by caesarean section (%),%,15.6,,12.4,,3.2
Gujarat,41,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health,,92.2,,89.7,,2.5
Gujarat,42,Children born at home who were taken to a health facility for a check-up within 24 hours of,,9.2,,6.9,,2.3
Gujarat,43,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/ other health,,93.2,,88.7,,4.5
Gujarat,44,Children age 12-23 months fully vaccinated based on information from either vaccination card,,81.7,,76.4,,5.3
Gujarat,45,Children age 12-23 months fully vaccinated based on information from vaccination card,,84.5,,85.0,,-0.5
Gujarat,46,Children age 12-23 months who have received any vaccine (%),%,96.3,,95.6,,0.7
Gujarat,47,Children age 12-23 months who have received BCG (%),%,95.7,,94.7,,1.0
Gujarat,48,Children age 12-23 months who have received 3 doses of polio vaccine 8 (%),%,83.6,,79.6,,4.0
Gujarat,49,Children age 12-23 months who have received 3 doses of pentavalent vaccine (%),%,86.6,,86.2,,0.4
Gujarat,50,Children age 12-23 months who have received the first dose of measles-containing,,89.2,,86.8,,2.4
Gujarat,51,Children age 24-35 months who have received a second dose of measles-containing,,70.2,,50.8,,19.4
Gujarat,52,Children age 12-23 months who have received birth dose of hepatitis B vaccine (%),%,86.0,,62.8,,23.2
Gujarat,53,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),%,80.0,,2.2,,77.8
Gujarat,54,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),%,84.0,,85.6,,-1.6
Gujarat,55,Children age 12-23 months who received most of their vaccinations in a public health,,92.8,,92.1,,0.7
Gujarat,56,Children age 12-23 months who received most of their vaccinations in a private health,,6.4,,7.6,,-1.2
Gujarat,57,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),%,5.7,,8.2,,-2.5
Gujarat,58,Prevalence of severe diarrhoea in the 2 weeks preceding the survey (%),%,0.3,,0.6,,-0.3
Gujarat,59,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the,,0.8,,1.0,,-0.2
Gujarat,60,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health,,79.0,,75.2,,3.8
Gujarat,61,Children under age 3 years breastfed within one hour of birth 9 (%),%,46.9,,37.8,,9.1
Gujarat,62,Children under age 6 months exclusively breastfed10 (%),%,71.4,,65.0,,6.4
Gujarat,63,Children under age 6 months currently breastfeeding 10 (%),%,97.1,,97.0,,0.1
Gujarat,64,Children under age 6 months exclusively breastfed or breastfeeding and consuming plain,,88.1,,83.3,,4.8
Gujarat,65,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),%,53.2,,42.0,,11.2
